,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(182,)",[0.65777868],0.6577786836002744,"('182',)",,0.0,
2,"(97, 182)",[0.70572948],0.7057294778822986,"('97', '182')",,0.0,
3,"(97, 182, 217)",[0.72932287],0.7293228686017482,"('97', '182', '217')",,0.0,
4,"(6, 97, 182, 217)",[0.75332713],0.753327133072324,"('6', '97', '182', '217')",,0.0,
5,"(6, 19, 97, 182, 217)",[0.76053982],0.7605398221990486,"('6', '19', '97', '182', '217')",,0.0,
6,"(6, 19, 97, 182, 217, 218)",[0.76948723],0.7694872252049739,"('6', '19', '97', '182', '217', '218')",,0.0,
7,"(6, 19, 97, 100, 182, 217, 218)",[0.776889],0.7768890039353389,"('6', '19', '97', '100', '182', '217', '218')",,0.0,
8,"(6, 19, 97, 100, 180, 182, 217, 218)",[0.78113988],0.7811398817331016,"('6', '19', '97', '100', '180', '182', '217', '218')",,0.0,
9,"(6, 19, 97, 100, 180, 182, 209, 217, 218)",[0.78698395],0.7869839484689196,"('6', '19', '97', '100', '180', '182', '209', '217', '218')",,0.0,
10,"(6, 19, 97, 100, 139, 180, 182, 209, 217, 218)",[0.78748267],0.7874826695081443,"('6', '19', '97', '100', '139', '180', '182', '209', '217', '218')",,0.0,
11,"(6, 19, 97, 100, 125, 139, 180, 182, 209, 217, 218)",[0.79197171],0.7919717142986596,"('6', '19', '97', '100', '125', '139', '180', '182', '209', '217', '218')",,0.0,
12,"(6, 19, 97, 100, 125, 139, 172, 180, 182, 209, 217, 218)",[0.78899117],0.7889911669435322,"('6', '19', '97', '100', '125', '139', '172', '180', '182', '209', '217', '218')",,0.0,
13,"(6, 19, 97, 100, 125, 139, 168, 172, 180, 182, 209, 217, 218)",[0.79196195],0.7919619524101388,"('6', '19', '97', '100', '125', '139', '168', '172', '180', '182', '209', '217', '218')",,0.0,
14,"(6, 19, 97, 100, 125, 139, 146, 168, 172, 180, 182, 209, 217, 218)",[0.79167119],0.7916711916411997,"('6', '19', '97', '100', '125', '139', '146', '168', '172', '180', '182', '209', '217', '218')",,0.0,
15,"(6, 8, 19, 97, 100, 125, 139, 146, 168, 172, 180, 182, 209, 217, 218)",[0.79493309],0.794933085191678,"('6', '8', '19', '97', '100', '125', '139', '146', '168', '172', '180', '182', '209', '217', '218')",,0.0,
16,"(6, 8, 19, 97, 100, 125, 139, 146, 168, 172, 180, 182, 184, 209, 217, 218)",[0.79267606],0.792676063569198,"('6', '8', '19', '97', '100', '125', '139', '146', '168', '172', '180', '182', '184', '209', '217', '218')",,0.0,
17,"(6, 8, 19, 97, 100, 125, 139, 146, 162, 168, 172, 180, 182, 184, 209, 217, 218)",[0.79450077],0.7945007699625207,"('6', '8', '19', '97', '100', '125', '139', '146', '162', '168', '172', '180', '182', '184', '209', '217', '218')",,0.0,
18,"(6, 8, 19, 32, 97, 100, 125, 139, 146, 162, 168, 172, 180, 182, 184, 209, 217, 218)",[0.79626424],0.796264242419365,"('6', '8', '19', '32', '97', '100', '125', '139', '146', '162', '168', '172', '180', '182', '184', '209', '217', '218')",,0.0,
19,"(6, 8, 19, 32, 97, 100, 105, 125, 139, 146, 162, 168, 172, 180, 182, 184, 209, 217, 218)",[0.79863764],0.7986376447643716,"('6', '8', '19', '32', '97', '100', '105', '125', '139', '146', '162', '168', '172', '180', '182', '184', '209', '217', '218')",,0.0,
20,"(4, 6, 8, 19, 32, 97, 100, 105, 125, 139, 146, 162, 168, 172, 180, 182, 184, 209, 217, 218)",[0.8003531],0.8003531005418186,"('4', '6', '8', '19', '32', '97', '100', '105', '125', '139', '146', '162', '168', '172', '180', '182', '184', '209', '217', '218')",,0.0,
21,"(4, 6, 8, 19, 32, 97, 100, 105, 125, 139, 146, 162, 168, 172, 180, 182, 183, 184, 209, 217, 218)",[0.80267642],0.802676417451765,"('4', '6', '8', '19', '32', '97', '100', '105', '125', '139', '146', '162', '168', '172', '180', '182', '183', '184', '209', '217', '218')",,0.0,
22,"(4, 6, 8, 19, 32, 97, 100, 105, 125, 139, 146, 156, 162, 168, 172, 180, 182, 183, 184, 209, 217, 218)",[0.80021265],0.800212647404971,"('4', '6', '8', '19', '32', '97', '100', '105', '125', '139', '146', '156', '162', '168', '172', '180', '182', '183', '184', '209', '217', '218')",,0.0,
