,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(22,)",[0.65871363],0.6587136341162599,"('22',)",,0.0,
2,"(22, 171)",[0.71028502],0.7102850213097137,"('22', '171')",,0.0,
3,"(22, 95, 171)",[0.73689238],0.7368923820157888,"('22', '95', '171')",,0.0,
4,"(22, 95, 171, 217)",[0.75189846],0.7518984611346492,"('22', '95', '171', '217')",,0.0,
5,"(22, 95, 171, 217, 218)",[0.76766673],0.7676667304121292,"('22', '95', '171', '217', '218')",,0.0,
6,"(22, 95, 152, 171, 217, 218)",[0.7732261],0.773226102999096,"('22', '95', '152', '171', '217', '218')",,0.0,
7,"(22, 40, 95, 152, 171, 217, 218)",[0.77797549],0.7779754861615489,"('22', '40', '95', '152', '171', '217', '218')",,0.0,
8,"(22, 40, 95, 152, 171, 209, 217, 218)",[0.77915473],0.7791547322714599,"('22', '40', '95', '152', '171', '209', '217', '218')",,0.0,
9,"(22, 40, 95, 152, 171, 206, 209, 217, 218)",[0.78391074],0.7839107354546672,"('22', '40', '95', '152', '171', '206', '209', '217', '218')",,0.0,
10,"(22, 40, 95, 146, 152, 171, 206, 209, 217, 218)",[0.78642353],0.7864235306489066,"('22', '40', '95', '146', '152', '171', '206', '209', '217', '218')",,0.0,
11,"(22, 40, 60, 95, 146, 152, 171, 206, 209, 217, 218)",[0.79067594],0.7906759424324502,"('22', '40', '60', '95', '146', '152', '171', '206', '209', '217', '218')",,0.0,
12,"(22, 40, 60, 95, 146, 147, 152, 171, 206, 209, 217, 218)",[0.78923714],0.7892371396969401,"('22', '40', '60', '95', '146', '147', '152', '171', '206', '209', '217', '218')",,0.0,
13,"(22, 40, 60, 87, 95, 146, 147, 152, 171, 206, 209, 217, 218)",[0.79436117],0.7943611674174379,"('22', '40', '60', '87', '95', '146', '147', '152', '171', '206', '209', '217', '218')",,0.0,
14,"(22, 40, 46, 60, 87, 95, 146, 147, 152, 171, 206, 209, 217, 218)",[0.79559687],0.7955968727822018,"('22', '40', '46', '60', '87', '95', '146', '147', '152', '171', '206', '209', '217', '218')",,0.0,
15,"(19, 22, 40, 46, 60, 87, 95, 146, 147, 152, 171, 206, 209, 217, 218)",[0.79475749],0.7947574893262869,"('19', '22', '40', '46', '60', '87', '95', '146', '147', '152', '171', '206', '209', '217', '218')",,0.0,
16,"(19, 22, 40, 46, 60, 87, 95, 146, 147, 152, 171, 182, 206, 209, 217, 218)",[0.79533601],0.7953360137126331,"('19', '22', '40', '46', '60', '87', '95', '146', '147', '152', '171', '182', '206', '209', '217', '218')",,0.0,
17,"(19, 22, 40, 46, 60, 87, 95, 118, 146, 147, 152, 171, 182, 206, 209, 217, 218)",[0.79592155],0.7959215519930186,"('19', '22', '40', '46', '60', '87', '95', '118', '146', '147', '152', '171', '182', '206', '209', '217', '218')",,0.0,
18,"(19, 22, 40, 46, 60, 87, 95, 118, 146, 147, 152, 156, 171, 182, 206, 209, 217, 218)",[0.798347],0.7983470022083813,"('19', '22', '40', '46', '60', '87', '95', '118', '146', '147', '152', '156', '171', '182', '206', '209', '217', '218')",,0.0,
19,"(19, 22, 40, 46, 60, 71, 87, 95, 118, 146, 147, 152, 156, 171, 182, 206, 209, 217, 218)",[0.80116742],0.801167416438708,"('19', '22', '40', '46', '60', '71', '87', '95', '118', '146', '147', '152', '156', '171', '182', '206', '209', '217', '218')",,0.0,
20,"(19, 22, 40, 46, 49, 60, 71, 87, 95, 118, 146, 147, 152, 156, 171, 182, 206, 209, 217, 218)",[0.80340794],0.8034079410576266,"('19', '22', '40', '46', '49', '60', '71', '87', '95', '118', '146', '147', '152', '156', '171', '182', '206', '209', '217', '218')",,0.0,
21,"(19, 22, 40, 46, 49, 60, 71, 87, 95, 110, 118, 146, 147, 152, 156, 171, 182, 206, 209, 217, 218)",[0.80340334],0.8034033435223655,"('19', '22', '40', '46', '49', '60', '71', '87', '95', '110', '118', '146', '147', '152', '156', '171', '182', '206', '209', '217', '218')",,0.0,
22,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 146, 147, 152, 156, 171, 182, 206, 209, 217, 218)",[0.80480858],0.8048085846581768,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '146', '147', '152', '156', '171', '182', '206', '209', '217', '218')",,0.0,
23,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 146, 147, 152, 156, 171, 182, 206, 209, 215, 217, 218)",[0.8028512],0.8028512008366183,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '146', '147', '152', '156', '171', '182', '206', '209', '215', '217', '218')",,0.0,
24,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 146, 147, 152, 156, 171, 182, 192, 206, 209, 215, 217, 218)",[0.8060695],0.806069502187749,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '146', '147', '152', '156', '171', '182', '192', '206', '209', '215', '217', '218')",,0.0,
25,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 146, 147, 152, 156, 162, 171, 182, 192, 206, 209, 215, 217, 218)",[0.80662491],0.8066249119657322,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '146', '147', '152', '156', '162', '171', '182', '192', '206', '209', '215', '217', '218')",,0.0,
26,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 146, 147, 152, 156, 162, 171, 182, 192, 196, 206, 209, 215, 217, 218)",[0.80974524],0.8097452420771974,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '146', '147', '152', '156', '162', '171', '182', '192', '196', '206', '209', '215', '217', '218')",,0.0,
27,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 145, 146, 147, 152, 156, 162, 171, 182, 192, 196, 206, 209, 215, 217, 218)",[0.80925146],0.80925146157367,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '145', '146', '147', '152', '156', '162', '171', '182', '192', '196', '206', '209', '215', '217', '218')",,0.0,
28,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 145, 146, 147, 152, 156, 162, 171, 173, 182, 192, 196, 206, 209, 215, 217, 218)",[0.81092578],0.8109257803284725,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '145', '146', '147', '152', '156', '162', '171', '173', '182', '192', '196', '206', '209', '215', '217', '218')",,0.0,
29,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 145, 146, 147, 152, 156, 162, 171, 173, 180, 182, 192, 196, 206, 209, 215, 217, 218)",[0.81134732],0.8113473239212926,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '145', '146', '147', '152', '156', '162', '171', '173', '180', '182', '192', '196', '206', '209', '215', '217', '218')",,0.0,
30,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 206, 209, 215, 217, 218)",[0.81075316],0.8107531626160487,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '206', '209', '215', '217', '218')",,0.0,
31,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 206, 209, 215, 217, 218, 224)",[0.81309685],0.8130968464698384,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '206', '209', '215', '217', '218', '224')",,0.0,
32,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 206, 209, 215, 217, 218, 224)",[0.81313508],0.8131350792384954,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '206', '209', '215', '217', '218', '224')",,0.0,
33,"(19, 22, 40, 46, 49, 60, 71, 87, 93, 95, 110, 118, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 206, 209, 215, 217, 218, 224)",[0.81454177],0.8145417731770476,"('19', '22', '40', '46', '49', '60', '71', '87', '93', '95', '110', '118', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '206', '209', '215', '217', '218', '224')",,0.0,
34,"(19, 22, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 206, 209, 215, 217, 218, 224)",[0.8147214],0.8147213982273572,"('19', '22', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '206', '209', '215', '217', '218', '224')",,0.0,
35,"(19, 22, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 206, 209, 215, 217, 218, 224)",[0.81387372],0.8138737181592354,"('19', '22', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '206', '209', '215', '217', '218', '224')",,0.0,
36,"(19, 22, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 206, 209, 215, 217, 218, 224)",[0.81771391],0.8177139106000769,"('19', '22', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '206', '209', '215', '217', '218', '224')",,0.0,
37,"(19, 22, 27, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 206, 209, 215, 217, 218, 224)",[0.81607088],0.8160708801752335,"('19', '22', '27', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '206', '209', '215', '217', '218', '224')",,0.0,
38,"(19, 22, 27, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 203, 206, 209, 215, 217, 218, 224)",[0.81746349],0.8174634864076844,"('19', '22', '27', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '203', '206', '209', '215', '217', '218', '224')",,0.0,
39,"(19, 22, 27, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.81758586],0.8175858552687866,"('19', '22', '27', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
40,"(19, 22, 27, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 135, 145, 146, 147, 152, 156, 162, 168, 171, 173, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.82055491],0.8205549129816992,"('19', '22', '27', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '135', '145', '146', '147', '152', '156', '162', '168', '171', '173', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
41,"(19, 22, 27, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 135, 145, 146, 147, 152, 156, 162, 168, 171, 173, 177, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.81996411],0.8199641132839562,"('19', '22', '27', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '135', '145', '146', '147', '152', '156', '162', '168', '171', '173', '177', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
42,"(6, 19, 22, 27, 36, 40, 46, 49, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 135, 145, 146, 147, 152, 156, 162, 168, 171, 173, 177, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.82085248],0.8208524825253072,"('6', '19', '22', '27', '36', '40', '46', '49', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '135', '145', '146', '147', '152', '156', '162', '168', '171', '173', '177', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
43,"(6, 19, 22, 27, 36, 40, 46, 49, 56, 60, 68, 71, 87, 93, 95, 110, 118, 129, 132, 135, 145, 146, 147, 152, 156, 162, 168, 171, 173, 177, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.82002398],0.8200239763019276,"('6', '19', '22', '27', '36', '40', '46', '49', '56', '60', '68', '71', '87', '93', '95', '110', '118', '129', '132', '135', '145', '146', '147', '152', '156', '162', '168', '171', '173', '177', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
44,"(6, 19, 22, 27, 36, 40, 46, 49, 56, 60, 68, 70, 71, 87, 93, 95, 110, 118, 129, 132, 135, 145, 146, 147, 152, 156, 162, 168, 171, 173, 177, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.82134744],0.821347442568117,"('6', '19', '22', '27', '36', '40', '46', '49', '56', '60', '68', '70', '71', '87', '93', '95', '110', '118', '129', '132', '135', '145', '146', '147', '152', '156', '162', '168', '171', '173', '177', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
45,"(6, 19, 22, 27, 36, 40, 46, 49, 56, 60, 68, 70, 71, 87, 93, 95, 110, 118, 129, 132, 135, 145, 146, 147, 152, 153, 156, 162, 168, 171, 173, 177, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.82078151],0.8207815061954467,"('6', '19', '22', '27', '36', '40', '46', '49', '56', '60', '68', '70', '71', '87', '93', '95', '110', '118', '129', '132', '135', '145', '146', '147', '152', '153', '156', '162', '168', '171', '173', '177', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
46,"(6, 9, 19, 22, 27, 36, 40, 46, 49, 56, 60, 68, 70, 71, 87, 93, 95, 110, 118, 129, 132, 135, 145, 146, 147, 152, 153, 156, 162, 168, 171, 173, 177, 180, 182, 192, 196, 202, 203, 206, 209, 213, 215, 217, 218, 224)",[0.8216075],0.8216074952113465,"('6', '9', '19', '22', '27', '36', '40', '46', '49', '56', '60', '68', '70', '71', '87', '93', '95', '110', '118', '129', '132', '135', '145', '146', '147', '152', '153', '156', '162', '168', '171', '173', '177', '180', '182', '192', '196', '202', '203', '206', '209', '213', '215', '217', '218', '224')",,0.0,
